Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
54,Male,85.2,1.66,197,114,57,0.84,374.6,Strength,8.0,2.17,2,1,30.92
33,Male,75.3,1.74,176,140,65,1.12,195.0,Yoga,16.6,1.9,5,1,24.87
23,Male,69.5,1.78,178,144,69,1.0,548.2,Cardio,21.7,2.33,3,1,21.94
25,Female,77.6,1.68,191,118,57,1.11,497.8,Strength,32.7,1.65,3,2,27.49
42,Male,71.3,1.71,195,152,68,0.69,430.1,HIIT,27.4,1.66,1,1,24.38
35,Female,59.5,1.53,190,130,56,0.75,382.3,HIIT,30.3,2.33,4,1,25.42
42,Male,84.9,1.85,181,118,58,0.74,374.0,Strength,28.8,2.16,4,1,24.81
29,Male,76.9,1.72,176,137,73,0.67,254.0,Strength,21.1,1.99,3,1,25.99
32,Male,70.2,1.87,183,120,66,0.79,175.9,Yoga,26.8,2.26,2,1,20.07
43,Male,59.6,1.81,184,141,56,1.32,659.3,HIIT,21.1,2.6,5,3,18.19
58,Female,71.4,1.55,184,118,71,0.75,479.3,Cardio,26.4,2.18,3,2,29.72
43,Female,66.4,1.63,175,144,57,1.33,615.9,Cardio,25.2,2.23,3,2,24.99
49,Female,71.1,1.62,190,118,64,1.08,453.8,Strength,31.3,1.88,4,2,27.09
27,Female,46.7,1.66,183,138,70,0.7,190.2,Cardio,26.2,1.72,2,1,16.95
33,Female,78.8,1.67,171,140,63,1.29,734.1,Cardio,31.9,2.7,5,3,28.25
24,Female,58.9,1.64,177,110,65,0.94,201.5,Yoga,38.3,1.68,2,1,21.9
34,Male,56.6,1.65,182,134,69,0.46,233.7,Cardio,32.5,1.92,3,1,20.79
40,Male,68.6,1.7,192,128,57,0.98,635.6,HIIT,22.4,2.24,3,2,23.74
43,Male,61.5,1.75,175,133,70,0.51,223.0,Cardio,19.9,2.25,2,1,20.08
38,Male,87.5,1.91,174,118,66,1.53,1178.2,HIIT,15.0,2.56,4,2,23.99
39,Male,67.8,1.7,174,108,59,0.78,432.8,HIIT,25.4,1.84,5,1,23.46
24,Male,83.5,1.72,194,143,61,0.76,522.5,Cardio,18.0,1.83,4,2,28.22
31,Female,78.9,1.62,170,121,63,1.72,760.2,Strength,34.5,2.53,6,2,30.06
32,Male,82.5,1.66,178,137,72,0.64,396.2,Cardio,24.2,2.22,2,1,29.94
24,Male,50.7,1.78,175,116,62,0.96,192.6,Yoga,27.6,2.32,3,2,16.0
26,Male,67.8,1.83,189,130,66,0.72,169.9,Yoga,25.1,1.61,1,1,20.25
25,Male,47.9,1.73,195,146,74,0.83,216.4,Strength,12.7,2.08,5,2,16.0
40,Female,47.4,1.57,199,143,56,0.8,241.0,Strength,18.1,2.23,2,1,19.23
46,Male,67.1,1.77,176,123,64,0.56,184.5,Strength,24.2,1.76,5,2,21.42
35,Female,69.0,1.64,178,125,73,1.22,695.6,HIIT,25.5,1.58,2,2,25.65
48,Female,68.7,1.77,174,118,63,0.52,255.5,Strength,32.8,1.75,3,1,21.93
47,Male,65.2,1.72,183,118,62,1.17,534.2,Cardio,30.3,1.76,3,3,22.04
56,Male,74.9,1.74,174,116,55,1.4,572.0,Strength,16.3,1.85,4,3,24.74
52,Female,51.4,1.73,177,115,60,0.96,350.9,Cardio,33.3,2.4,4,2,17.17
35,Female,56.2,1.65,176,134,66,0.97,466.5,HIIT,26.3,2.84,3,2,20.64
59,Female,59.1,1.64,182,138,73,0.55,280.9,Cardio,28.1,2.24,2,1,21.97
56,Female,56.4,1.56,182,130,71,1.42,461.2,Strength,28.2,1.57,3,2,23.18
34,Male,73.6,1.74,177,118,56,0.86,449.0,Cardio,11.0,1.96,3,1,24.31
31,Male,80.7,1.64,180,121,65,0.53,260.6,Cardio,17.5,1.64,1,1,30.0
48,Male,82.7,1.73,197,145,72,1.29,606.5,Strength,31.5,1.83,4,3,27.63
41,Female,62.6,1.73,195,159,65,0.77,80.0,Yoga,23.7,2.1,5,2,20.92
52,Female,61.0,1.63,187,146,72,1.09,607.7,HIIT,32.4,2.1,3,1,22.96
51,Male,69.5,1.75,194,149,62,0.79,453.7,Cardio,22.1,1.62,4,1,22.69
20,Male,68.7,1.77,188,151,69,0.8,403.0,Cardio,21.4,1.36,4,2,21.93
54,Male,82.2,1.81,175,122,63,0.89,267.7,Yoga,22.6,1.85,1,1,25.09
57,Male,56.1,1.84,191,120,69,0.69,166.5,Strength,19.2,1.92,3,1,16.57
43,Female,61.9,1.5,171,129,61,0.49,302.5,Cardio,23.3,1.76,3,1,27.51
40,Female,93.2,1.74,197,131,74,1.08,345.9,Yoga,27.5,2.47,6,2,30.78
56,Female,57.9,1.59,182,136,67,1.07,576.6,HIIT,17.4,2.24,4,2,22.9
32,Male,66.8,1.71,192,149,67,0.98,172.5,Yoga,23.9,1.98,3,1,22.84
21,Male,71.2,1.7,194,149,55,1.01,185.2,Yoga,21.0,1.86,4,2,24.64
46,Female,86.0,1.75,197,136,74,0.77,195.8,Yoga,26.0,1.43,3,1,28.08
39,Female,55.2,1.56,195,137,58,1.03,462.3,Cardio,30.4,1.79,4,2,22.68
42,Female,64.9,1.53,180,133,58,1.57,689.7,Cardio,26.3,2.85,4,3,27.72
30,Female,75.9,1.71,170,135,58,0.94,397.9,Strength,30.1,2.32,4,2,25.96
35,Male,103.6,1.76,193,151,67,1.34,802.8,Strength,18.6,2.39,5,3,33.45
50,Male,68.7,1.74,171,142,56,1.37,561.6,Strength,26.0,2.17,6,3,22.69
33,Male,46.5,1.7,199,121,69,1.07,306.5,Strength,14.4,2.51,4,2,16.09
59,Male,55.9,1.75,186,129,58,0.93,232.9,Strength,25.8,1.75,5,2,18.25
19,Male,68.7,1.69,177,117,60,1.27,531.4,Strength,14.0,1.96,6,3,24.05
52,Male,87.1,1.76,171,107,57,0.73,465.9,Cardio,28.0,1.91,3,1,28.12
59,Female,58.9,1.66,175,143,61,1.14,445.8,Cardio,28.5,1.53,1,1,21.37
51,Male,65.9,1.69,191,158,60,1.16,424.9,Strength,17.9,1.88,3,3,23.07
47,Male,76.4,1.69,174,111,57,0.82,485.5,HIIT,17.4,1.92,3,2,26.75
30,Female,55.5,1.66,185,111,58,0.75,326.4,Cardio,17.1,1.81,3,1,20.14
30,Male,66.0,1.75,177,120,64,0.73,263.3,Strength,31.1,1.64,4,1,21.55
35,Male,55.9,1.7,188,150,63,1.04,472.4,HIIT,20.1,2.73,1,2,19.34
49,Female,84.9,1.72,185,123,60,0.91,418.8,Strength,28.8,2.45,2,2,28.7
49,Male,85.1,1.68,182,119,74,1.02,604.1,Cardio,16.6,2.63,3,2,30.15
52,Male,54.2,1.75,195,119,65,1.03,285.3,Strength,10.2,2.09,3,2,17.7
56,Male,76.8,1.81,189,131,61,1.18,569.8,Cardio,17.2,2.06,3,2,23.44
46,Male,90.7,1.75,176,148,72,1.02,210.7,Yoga,12.4,2.59,3,2,29.62
46,Female,68.8,1.64,185,122,58,1.02,502.1,Cardio,30.5,2.14,3,2,25.58
33,Female,46.3,1.45,192,132,59,1.1,442.3,HIIT,19.5,1.84,3,2,22.02
27,Female,48.5,1.65,185,113,58,1.17,452.4,Cardio,32.6,1.9,5,2,17.81
47,Female,86.6,1.74,198,138,58,0.55,240.1,Strength,24.1,1.73,3,1,28.6
42,Female,69.3,1.65,181,140,67,0.5,172.0,Strength,25.7,1.79,3,1,25.45
56,Male,52.3,1.7,183,126,70,1.59,586.6,Cardio,24.0,2.48,4,3,18.1
37,Female,79.2,1.66,193,131,68,0.89,384.8,Strength,37.6,1.98,4,1,28.74
22,Male,58.3,1.82,187,150,65,0.71,305.2,Cardio,28.0,2.63,3,1,17.6
18,Female,62.9,1.65,196,113,56,1.0,334.2,Strength,20.3,1.69,4,2,23.1
47,Female,60.2,1.62,197,148,68,1.17,415.3,Strength,21.7,2.4,4,3,22.94
20,Male,94.4,1.76,187,129,61,0.79,507.5,Strength,23.4,1.83,2,1,30.48
31,Male,73.6,1.79,185,126,65,0.56,90.6,Yoga,26.8,1.82,4,1,22.97
47,Male,68.7,1.73,189,141,58,0.92,367.8,Strength,34.4,2.33,2,1,22.95
21,Male,56.8,1.75,185,147,61,1.04,330.3,Strength,19.3,1.59,2,2,18.55
35,Female,54.9,1.6,182,137,70,0.79,357.9,Cardio,31.6,1.69,2,1,21.45
54,Female,61.3,1.72,195,115,60,0.57,202.8,Strength,41.5,1.8,4,1,20.72
42,Male,65.6,1.77,198,137,60,0.85,472.8,HIIT,29.3,2.45,2,1,20.94
18,Male,63.8,1.63,178,125,56,1.08,455.4,Cardio,35.6,2.59,5,3,24.01
32,Male,44.1,1.66,195,141,62,0.61,266.5,HIIT,24.4,2.25,2,1,16.0
26,Male,57.5,1.79,197,147,61,0.77,279.2,Cardio,10.3,1.3,3,1,17.95
32,Male,64.9,1.66,178,113,68,1.5,923.5,HIIT,14.7,2.09,4,2,23.55
41,Male,76.7,1.77,182,132,63,1.28,737.4,Cardio,27.0,1.97,3,3,24.48
21,Female,60.5,1.62,198,147,69,0.49,92.4,Yoga,18.5,1.78,4,2,23.05
29,Male,70.5,1.72,173,125,72,1.12,387.4,Strength,16.4,1.62,3,3,23.83
54,Male,63.9,1.69,178,137,66,1.39,674.1,Cardio,16.2,2.66,4,3,22.37
54,Female,55.3,1.52,184,126,73,0.52,274.2,Cardio,42.5,1.21,2,1,23.94
23,Male,90.0,1.87,183,126,67,1.17,569.7,Strength,21.5,2.51,5,2,25.74
56,Female,65.8,1.6,188,155,61,0.78,124.3,Yoga,21.2,2.23,3,1,25.7
41,Female,62.1,1.71,181,125,64,1.2,539.3,Cardio,29.4,1.89,3,2,21.24
28,Male,79.9,1.7,190,130,64,0.64,391.2,Cardio,11.0,2.26,2,1,27.65
30,Male,68.7,1.67,195,141,56,0.62,216.1,Strength,11.7,1.77,3,1,24.63
51,Male,88.6,1.75,194,161,68,1.36,707.3,Strength,20.1,2.14,4,3,28.93
42,Male,83.9,1.68,175,147,67,0.75,427.0,Strength,21.2,1.82,4,1,29.73
24,Male,48.4,1.63,172,128,60,1.24,553.4,HIIT,26.1,2.14,4,3,18.22
21,Female,53.3,1.61,195,116,63,1.06,398.6,Cardio,22.5,2.06,2,1,20.56
25,Male,89.3,1.81,194,158,67,0.87,250.7,Yoga,16.5,1.96,2,1,27.26
37,Male,49.5,1.69,191,140,63,0.85,281.5,Strength,21.4,1.74,3,3,17.33
46,Male,93.0,1.77,189,131,67,1.16,792.4,Cardio,26.3,2.0,1,2,29.68
27,Female,59.4,1.62,185,146,59,1.14,628.8,HIIT,29.1,2.01,3,2,22.63
51,Male,81.5,1.76,199,139,68,0.99,477.7,Strength,18.1,2.6,2,1,26.31
43,Male,65.6,1.67,189,113,59,0.81,261.0,Strength,14.3,1.81,4,2,23.52
58,Male,55.2,1.73,193,152,63,1.06,344.4,Strength,15.2,1.95,3,2,18.44
20,Female,60.2,1.46,192,139,62,1.02,393.7,Cardio,12.4,2.57,6,2,28.24
23,Male,109.7,1.77,186,126,61,0.81,468.7,Strength,20.0,1.89,4,2,35.02
22,Female,63.4,1.7,185,122,62,1.44,319.7,Yoga,32.4,2.1,3,3,21.94
22,Female,61.1,1.64,175,129,57,0.95,457.7,Cardio,27.1,1.74,2,2,22.72
40,Male,45.7,1.69,177,120,69,1.48,366.0,Strength,24.6,1.96,5,3,16.0
26,Female,72.5,1.57,188,127,62,0.85,622.9,HIIT,31.2,2.17,3,2,29.41
52,Male,86.6,1.77,199,145,55,0.71,132.1,Yoga,19.5,1.38,2,2,27.64
37,Female,48.2,1.68,194,155,61,0.7,179.8,Strength,17.3,2.32,2,1,17.08
59,Female,38.9,1.56,195,145,73,0.8,184.4,Strength,27.9,1.95,2,1,15.98
52,Male,46.3,1.69,171,133,56,1.14,181.7,Strength,23.3,2.05,6,3,16.21
35,Male,84.2,1.78,183,145,68,0.25,80.0,Yoga,21.2,1.58,2,1,26.57
34,Female,78.9,1.71,191,147,72,0.83,151.5,Yoga,16.2,2.14,2,1,26.98
41,Male,57.3,1.68,181,123,69,0.83,302.4,Cardio,20.2,1.86,4,1,20.3
20,Male,89.0,1.85,186,151,68,0.89,430.4,Strength,10.2,1.98,3,1,26.0
49,Male,85.2,1.86,197,142,73,1.17,482.4,Strength,20.5,2.52,4,3,24.63
52,Female,65.1,1.7,196,124,73,1.16,647.3,HIIT,38.6,2.3,4,3,22.53
55,Female,72.3,1.61,184,126,71,1.29,447.5,Strength,30.6,1.9,2,2,27.89
30,Male,60.1,1.77,187,149,73,0.43,237.5,HIIT,23.8,1.55,3,1,19.18
42,Male,93.7,1.81,185,119,70,0.95,271.2,Yoga,21.2,1.54,5,2,28.6
26,Male,69.1,1.81,182,123,74,1.03,504.6,Cardio,22.8,2.3,5,2,21.09
21,Female,76.7,1.57,190,148,73,1.37,805.4,Cardio,28.3,2.54,3,3,31.12
31,Male,64.7,1.8,186,148,55,1.03,359.4,Strength,16.3,1.84,4,2,19.97
54,Female,61.5,1.65,177,138,73,0.57,194.4,Strength,22.9,2.53,3,1,22.59
51,Male,82.0,1.84,170,113,61,1.23,698.6,Cardio,22.3,2.97,3,2,24.22
28,Female,66.7,1.66,198,121,65,1.25,515.3,Cardio,33.0,2.26,4,3,24.21
58,Male,79.5,1.75,194,142,59,0.67,473.6,HIIT,17.0,1.66,2,2,25.96
20,Male,65.2,1.86,195,123,71,1.04,192.4,Yoga,13.6,2.21,4,2,18.85
45,Male,65.7,1.66,196,145,65,0.85,379.5,Strength,20.2,1.76,1,1,23.84
46,Female,60.5,1.57,172,115,62,1.39,495.2,Strength,26.2,2.62,3,2,24.54
26,Female,60.3,1.66,185,151,64,1.08,458.0,Cardio,31.5,2.2,4,2,21.88
20,Male,81.2,1.78,197,140,66,0.45,334.5,HIIT,15.8,1.84,1,1,25.63
42,Female,50.1,1.64,171,115,64,0.71,356.4,HIIT,28.4,2.45,2,2,18.63
51,Female,50.4,1.49,184,149,67,1.0,301.5,Strength,34.0,1.91,4,1,22.7
29,Female,56.4,1.64,170,120,72,0.59,309.2,Cardio,16.6,1.68,3,1,20.97
59,Male,75.2,1.82,178,122,64,0.44,209.5,Cardio,21.8,2.02,2,1,22.7
26,Male,89.2,1.73,185,151,73,0.95,656.4,Cardio,18.4,1.94,3,1,29.8
32,Male,105.6,1.88,173,124,74,0.9,512.6,Strength,10.6,2.52,4,2,29.88
57,Female,75.4,1.61,181,131,71,0.94,645.6,HIIT,20.5,2.36,4,1,29.09
42,Female,58.1,1.62,170,124,74,0.57,80.0,Yoga,25.7,1.73,1,1,22.14
22,Female,70.7,1.6,170,114,70,1.54,600.9,Strength,18.9,1.88,3,3,27.62
28,Male,73.2,1.73,176,107,59,1.17,779.3,HIIT,22.0,1.77,4,2,24.46
51,Male,74.9,1.76,187,142,57,0.86,217.0,Yoga,23.6,1.87,4,2,24.18
41,Female,59.1,1.58,192,146,69,0.42,183.3,Cardio,29.9,1.87,1,1,23.67
32,Female,80.4,1.61,197,126,56,1.46,554.6,Strength,27.2,2.71,3,2,31.02
55,Female,64.5,1.48,192,130,67,0.71,134.3,Yoga,29.2,1.86,2,1,29.45
25,Female,79.8,1.72,184,151,62,1.1,547.9,Strength,30.7,1.89,5,3,26.97
22,Female,59.0,1.59,195,163,71,1.03,178.9,Yoga,20.8,2.08,3,1,23.34
43,Male,65.8,1.65,199,138,58,1.19,294.8,Yoga,21.8,2.22,2,2,24.17
35,Male,82.8,1.78,194,155,73,0.99,732.9,HIIT,30.0,2.49,3,1,26.13
23,Female,54.7,1.58,182,141,63,0.98,419.6,HIIT,22.2,2.46,3,2,21.91
54,Female,78.3,1.68,185,127,69,1.38,955.2,HIIT,29.8,2.03,2,2,27.74
30,Male,60.1,1.72,176,111,63,0.74,377.9,HIIT,17.5,2.08,3,2,20.32
45,Male,64.6,1.59,185,118,63,0.64,221.2,Strength,29.4,1.63,2,1,25.55
22,Female,46.8,1.71,182,147,68,1.08,320.8,Cardio,32.8,1.9,4,2,16.0
30,Male,69.1,1.78,183,144,70,1.48,569.4,Strength,19.0,2.7,4,3,21.81
34,Male,94.5,1.71,186,144,71,1.38,1160.6,HIIT,8.1,2.27,5,3,32.32
57,Male,82.3,1.71,181,118,67,0.73,489.2,Cardio,15.5,2.13,1,1,28.15
49,Female,77.2,1.6,198,147,63,0.65,317.2,Cardio,27.9,2.05,2,1,30.16
46,Female,54.6,1.6,193,152,69,1.48,598.6,Cardio,18.9,2.36,5,3,21.33
20,Male,80.0,1.81,193,154,61,1.15,844.4,HIIT,23.7,2.29,4,2,24.42
57,Female,73.6,1.59,189,109,55,0.83,214.3,Yoga,30.7,2.06,4,2,29.11
51,Male,77.6,1.71,182,136,55,1.07,234.6,Yoga,29.0,1.8,5,3,26.54
57,Male,79.7,1.75,193,113,59,1.14,515.0,Strength,25.6,2.33,4,3,26.02
44,Female,87.2,1.69,189,145,63,0.87,241.7,Yoga,27.5,1.81,4,2,30.53
30,Female,48.9,1.57,184,139,66,0.96,356.6,HIIT,19.1,1.76,4,1,19.84
50,Female,62.6,1.64,193,120,60,0.84,279.9,Strength,34.0,2.26,2,1,23.27
23,Female,44.6,1.62,190,149,67,1.11,274.5,Strength,27.8,1.99,5,2,16.99
41,Female,57.4,1.71,173,109,62,0.79,333.8,Cardio,30.4,2.31,3,1,19.63
36,Male,91.7,1.8,191,153,69,0.8,223.0,Yoga,18.9,2.31,2,1,28.3
33,Male,71.1,1.87,171,115,60,0.43,187.8,Strength,25.8,1.61,2,1,20.33
57,Male,94.2,1.87,197,148,60,0.91,555.1,Strength,13.0,2.37,3,1,26.94
45,Male,99.3,1.8,187,151,58,0.89,771.6,HIIT,9.7,1.92,4,2,30.65
50,Female,58.9,1.59,171,120,65,0.99,340.1,Strength,18.6,2.07,4,2,23.3
58,Male,71.9,1.66,194,142,72,0.91,528.7,Cardio,15.9,2.19,3,2,26.09
30,Female,65.6,1.56,184,128,57,0.78,213.1,Strength,39.2,2.58,1,1,26.96
42,Female,58.5,1.75,199,122,57,1.36,590.4,Cardio,28.8,2.6,5,3,19.1
59,Female,62.2,1.7,195,144,66,0.55,240.7,HIIT,29.4,1.81,1,1,21.52
53,Male,60.5,1.74,188,144,60,1.05,441.3,Strength,16.9,2.16,2,2,19.98
44,Female,66.2,1.74,184,149,60,1.16,448.7,Strength,29.0,1.72,4,3,21.87
55,Male,91.9,1.85,195,155,62,1.01,532.6,Strength,21.0,2.41,1,1,26.85
24,Male,67.0,1.76,189,138,69,0.78,216.2,Strength,23.1,2.24,4,2,21.63
22,Female,62.6,1.62,179,142,72,1.05,346.0,Strength,24.4,2.22,4,3,23.85
48,Male,58.7,1.72,197,158,74,0.68,339.3,HIIT,10.9,2.12,3,1,19.84
40,Male,86.5,1.73,193,140,70,0.81,701.2,HIIT,22.9,1.38,2,2,28.9
59,Female,55.2,1.59,189,117,60,0.96,506.1,HIIT,29.9,1.75,3,2,21.83
27,Male,91.1,1.74,180,131,71,0.64,108.8,Yoga,17.9,2.42,3,1,30.09
49,Female,66.8,1.66,195,155,63,1.27,636.9,Cardio,23.9,2.18,5,3,24.24
47,Female,51.9,1.68,179,138,73,1.45,359.2,Strength,23.9,2.6,5,3,18.39
56,Female,62.7,1.64,198,154,72,1.01,124.8,Yoga,28.9,1.88,3,2,23.31
48,Male,57.1,1.7,192,121,59,0.78,266.3,Strength,20.8,1.84,2,1,19.76
35,Male,80.7,1.75,174,144,60,0.54,347.3,Cardio,17.0,2.38,3,1,26.35
53,Female,58.8,1.6,178,127,66,0.97,336.1,Strength,32.7,2.03,1,2,22.97
19,Male,82.6,1.83,189,143,65,0.67,478.4,Cardio,26.0,2.06,3,1,24.66
31,Female,62.1,1.66,188,118,70,1.14,530.5,Cardio,41.3,2.22,4,2,22.54
30,Female,58.6,1.64,182,122,74,0.85,156.2,Yoga,28.2,2.08,2,2,21.79
46,Female,56.1,1.67,187,149,71,0.83,210.8,Strength,25.7,2.06,3,2,20.12
29,Male,90.6,1.82,186,157,74,1.06,734.0,Cardio,16.8,1.54,5,2,27.35
56,Male,83.3,1.89,196,131,63,1.15,221.3,Yoga,20.8,2.33,3,1,23.32
19,Female,67.3,1.72,175,105,55,0.71,224.2,Yoga,30.6,1.76,3,1,22.75
49,Male,64.7,1.67,179,121,57,0.78,316.0,Strength,26.1,2.5,3,1,23.2
30,Male,64.4,1.74,171,107,63,1.19,669.9,Cardio,17.7,1.98,5,2,21.27
44,Female,58.3,1.6,193,129,73,1.1,592.7,HIIT,25.2,2.02,4,2,22.77
58,Female,62.0,1.58,175,139,67,1.1,650.6,HIIT,23.3,2.89,3,2,24.84
34,Female,56.1,1.68,197,162,68,0.98,483.7,HIIT,22.9,2.31,4,2,19.88
57,Female,67.0,1.81,197,127,74,1.23,245.5,Yoga,34.7,1.94,4,3,20.45
48,Male,91.4,1.76,190,143,73,0.6,451.5,HIIT,25.4,1.91,2,1,29.51
51,Female,64.4,1.69,182,120,61,0.85,340.9,Cardio,29.1,1.64,2,1,22.55
41,Female,55.8,1.6,187,116,58,0.84,429.4,HIIT,31.1,2.08,3,1,21.8
52,Male,59.0,1.78,176,118,66,1.14,372.8,Strength,19.3,1.94,3,2,18.62
23,Male,87.8,1.79,171,130,68,0.65,470.6,HIIT,14.3,2.45,2,1,27.4
36,Female,48.1,1.56,198,116,56,1.42,344.6,Strength,27.8,2.48,3,3,19.76
47,Female,56.8,1.54,183,126,55,1.23,510.3,Cardio,31.8,2.4,5,2,23.95
24,Female,44.5,1.61,174,118,72,1.01,206.7,Strength,37.2,2.39,4,3,17.17
27,Female,75.2,1.66,187,130,74,1.19,512.8,Strength,20.3,2.53,4,3,27.29
58,Male,79.1,1.66,180,117,62,0.99,393.8,Strength,19.9,1.89,2,1,28.71
49,Male,72.3,1.67,179,144,57,0.87,360.7,Strength,8.0,2.05,4,2,25.92
51,Female,46.9,1.62,180,138,60,1.11,244.0,Strength,27.9,2.03,4,2,17.87
45,Female,76.3,1.67,196,158,67,0.75,469.2,HIIT,25.6,2.58,2,1,27.36
32,Female,43.5,1.45,171,121,63,0.82,165.4,Cardio,32.0,1.31,3,1,20.69
47,Female,47.6,1.57,184,125,63,1.01,426.3,HIIT,24.1,1.93,4,2,19.31
54,Male,71.2,1.78,176,128,74,0.9,634.9,HIIT,32.8,2.02,2,1,22.47
46,Male,68.6,1.75,178,110,63,0.8,549.8,HIIT,30.5,2.02,2,2,22.4
39,Female,64.3,1.71,174,138,69,0.82,306.7,Strength,28.7,2.03,4,2,21.99
21,Female,71.7,1.57,176,124,67,1.04,143.7,Yoga,33.8,2.11,2,1,29.09
37,Female,93.7,1.71,189,131,70,1.42,1003.1,Cardio,27.7,2.3,4,2,32.04
49,Female,46.8,1.59,171,126,56,0.75,264.8,Cardio,24.7,2.02,3,1,18.51
53,Female,55.1,1.61,172,125,68,1.34,395.1,Strength,21.8,2.44,4,2,21.26
21,Male,81.4,1.82,171,143,60,0.6,404.1,Cardio,16.8,2.4,2,1,24.57
44,Male,71.9,1.79,190,126,56,1.14,270.5,Yoga,37.0,2.72,4,3,22.44
34,Male,75.7,1.72,191,141,62,1.04,652.1,Cardio,28.2,2.21,1,1,25.59
29,Female,70.8,1.6,192,126,58,0.91,523.6,HIIT,32.4,1.9,2,1,27.66
39,Male,80.8,1.73,188,158,68,1.07,725.0,HIIT,19.3,2.01,3,1,27.0
34,Male,73.7,1.67,173,125,65,0.84,404.7,Cardio,25.1,1.61,4,1,26.43
27,Male,99.3,1.8,193,146,68,0.55,292.9,Strength,24.8,2.12,4,1,30.65
18,Male,61.0,1.86,189,121,66,1.04,525.7,Cardio,14.3,2.11,4,2,17.63
